Product ID;Obraz;Nazwa;Indeks;Kategoria;Cena (netto);Cena (brutto);Ilość;Wyświetlany;Pozycja
5307;https://dobrewina.pl/1958/schmitt-sohne-liebfraumilch-rheinhessen-075-l.jpg;Schmitt Sohne Liebfraumilch Rheinhessen 0,75 L;ONH001;Wino białe;30.000000;36.9;0;1;0
5321;https://dobrewina.pl/1977/chassenay-d-arce-champagne-selection-brut-075-l.jpg;Chassenay D'Arce Champagne Selection Brut 0,75 L;OFC003;Wino musujące;121.138211;149;0;1;0
5325;https://dobrewina.pl/1973/rosso-di-montalcino-altesino-075-l.jpg;Rosso di Montalcino Altesino 0,75 L;OIT0008;Wino czerwone;96.747967;119;0;1;0
5326;https://dobrewina.pl/1972/brunello-di-montalcino-altesino-075-l.jpg;Brunello di Montalcino Altesino 0,75 L;OIT0009;Wino czerwone;161.788618;199;0;1;0
5333;https://dobrewina.pl/1989/domaine-haut-de-mourier-chardonnay-pay-d-oc-igp-075-l.jpg;Domaine Haut de Mourier Chardonnay Pay d'Oc IGP 0,75 L;OFN0010;Wino białe;40.569106;59.9;0;1;0
5379;https://dobrewina.pl//p5379-malma-chacra-la-papay-malbec-patagonia-075-l.jpg;Malma Chacra La Papay Malbec Patagonia 0,75 L;OAM005;Strona główna;49.900000;61.38;0;1;0
5380;https://dobrewina.pl//p5380-kracher-gruner-veltliner-burgenland-075-l.jpg;Kracher Grüner Veltliner Burgenland 0,75 L;OAT001;Strona główna;79.900000;98.28;0;1;0
5381;https://dobrewina.pl//p5381-cotes-du-rhone-rouge-vidal-fleury-075-l.jpg;Cotes-du-Rhone Rouge Vidal-Fleury 0,75 L;OFR0005;Strona główna;56.900000;69.99;0;1;0
5382;https://dobrewina.pl//p5382-grand-velours-grande-reserve-igp-d-oc-075-l.jpg;Grand Velours Grande Reserve IGP d'Oc 0,75 L;OFM0008;Strona główna;59.900000;73.68;0;1;0
5383;https://dobrewina.pl//p5383-chateau-pesquie-eco-edition-1912-ventoux-075-l.jpg;Château Pesquie Eco Edition 1912 Ventoux 0,75 L;OFR0003;Strona główna;59.900000;73.68;0;1;0
5384;https://dobrewina.pl//p5384-cotes-du-rhone-blanc-vidal-fleury-075-l.jpg;Côtes-du-Rhone Blanc Vidal-Fleury 0,75 L;OFR0004;Strona główna;59.900000;73.68;0;1;0
5385;https://dobrewina.pl//p5385-balade-romantique-orange-wine-075-l.jpg;Balade Romantique Orange Wine 0,75 L;WBWFADGS24561;Strona główna;59.900000;73.68;0;1;0
5386;https://dobrewina.pl//p5386-contrasto-bianco-vigneti-delle-dolomiti-igt-075-l.jpg;Contrasto Bianco Vigneti delle Dolomiti IGT 0,75 L;WBWWOMEZ22936;Strona główna;39.900000;49.08;0;1;0
5387;https://dobrewina.pl//p5387-contrasto-rosso-terre-siciliane-igt-075-l.jpg;Contrasto Rosso Terre Siciliane IGT 0,75 L;WCWWOMEZ22937;Strona główna;0.000000;0;0;1;0
5388;https://dobrewina.pl//p5388-tempere-merlot-medium-sweet-075-l.jpg;Tempere Merlot Medium Sweet 0,75 L;WCMMLVAR24073;Strona główna;36.900000;45.39;0;1;0
5389;https://dobrewina.pl//p5389-tempere-sauvignon-blanc-medium-sweet-075-l.jpg;Tempere Sauvignon Blanc Medium Sweet 0,75 L;WBMMLVAR24070;Strona główna;36.900000;45.39;0;1;0
5390;https://dobrewina.pl//p5390-closerie-de-vaudieu-chateauneuf-du-pape-075-l.jpg;Closerie de Vaudieu Chateauneuf-du-Pape 0,75 L;OFR0006;Strona główna;139.000000;170.97;0;1;0
5391;https://dobrewina.pl//p5391-champagne-douard-christian-rose-brut-075-l.jpg;Champagne Douard Christian Rose Brut 0,75 L;OFC005;Strona główna;164.000000;201.72;0;1;0
5392;https://dobrewina.pl//p5392-champagne-douard-christian-blanc-de-blanc-brut-075-l.jpg;Champagne Douard Christian Blanc de Blanc Brut 0,75 L;OFC006;Strona główna;179.000000;220.17;0;1;0
